Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
sto6G,HAl,HeMg,1,1.3,3.399041911630002,-197.2249511423055,-198.200670952485,-199.748351857916,2.523400715610478,0.9757198101794984,1.5476809054309797
sto6G,HAl,HeMg,2,1.3,3.399041911630002,-198.00274240947343,-198.200670952485,-199.748351857916,1.7456094484425648,0.19792854301158513,1.5476809054309797
sto6G,HAl,HeMg,3,1.3,3.399041911630002,-198.21824773374877,-198.200670952485,-199.748351857916,1.5301041241672237,-0.017576781263755947,1.5476809054309797
sto6G,HAl,HeMg,4,1.3,3.399041911630002,-198.24146183758123,-198.200670952485,-199.748351857916,1.5068900203347653,-0.040790885096214424,1.5476809054309797
sto6G,HAl,HeMg,5,1.3,3.399041911630002,-198.2379469398229,-198.200670952485,-199.748351857916,1.5104049180930872,-0.0372759873378925,1.5476809054309797
sto6G,HAl,HeMg,1,1.4000000000000001,3.4198446630975683,-197.56720669664145,-198.557924304475,-200.12463041347,2.557423716828538,0.9907176078335453,1.5667061089949925
sto6G,HAl,HeMg,2,1.4000000000000001,3.4198446630975683,-198.40255644226062,-198.557924304475,-200.12463041347,1.722073971209369,0.15536786221437637,1.5667061089949925
sto6G,HAl,HeMg,3,1.4000000000000001,3.4198446630975683,-198.6155381352956,-198.557924304475,-200.12463041347,1.5090922781743927,-0.05761383082059979,1.5667061089949925
sto6G,HAl,HeMg,4,1.4000000000000001,3.4198446630975683,-198.6169762116318,-198.557924304475,-200.12463041347,1.5076542018381929,-0.05905190715679964,1.5667061089949925
sto6G,HAl,HeMg,5,1.4000000000000001,3.4198446630975683,-198.58773784485658,-198.557924304475,-200.12463041347,1.5368925686134105,-0.029813540381582015,1.5667061089949925
sto6G,HAl,HeMg,1,1.5,3.401967356305197,-197.84304081097997,-198.829505584658,-200.41296878888,2.569927977900022,0.9864647736780228,1.5834632042219994
sto6G,HAl,HeMg,2,1.5,3.401967356305197,-198.71690712066464,-198.829505584658,-200.41296878888,1.69606166821535,0.1125984639933506,1.5834632042219994
sto6G,HAl,HeMg,3,1.5,3.401967356305197,-198.91126076936257,-198.829505584658,-200.41296878888,1.501708019517423,-0.08175518470457632,1.5834632042219994
sto6G,HAl,HeMg,4,1.5,3.401967356305197,-198.88349382928175,-198.829505584658,-200.41296878888,1.5294749595982466,-0.053988244623752735,1.5834632042219994
sto6G,HAl,HeMg,5,1.5,3.401967356305197,-198.8328002658682,-198.829505584658,-200.41296878888,1.5801685230117926,-0.003294681210206818,1.5834632042219994
sto6G,HAl,HeMg,1,1.6,3.3923668460022864,-198.06166042165825,-199.039142567423,-200.634416044244,2.5727556225857597,0.9774821457647533,1.5952734768210064
sto6G,HAl,HeMg,2,1.6,3.3923668460022864,-198.96017468272575,-199.039142567423,-200.634416044244,1.6742413615182556,0.07896788469724925,1.5952734768210064
sto6G,HAl,HeMg,3,1.6,3.3923668460022864,-199.1295188486047,-199.039142567423,-200.634416044244,1.5048971956393018,-0.0903762811817046,1.5952734768210064
sto6G,HAl,HeMg,4,1.6,3.3923668460022864,-199.07717028200656,-199.039142567423,-200.634416044244,1.557245762237443,-0.038027714583563466,1.5952734768210064
sto6G,HAl,HeMg,5,1.6,3.3923668460022864,-199.01980624102566,-199.039142567423,-200.634416044244,1.6146098032183431,0.019336326397336734,1.5952734768210064
sto6G,HAl,HeMg,1,1.7000000000000002,3.3690351747136087,-198.23350190780883,-199.203789797635,-200.805567668957,2.572065761148167,0.9702878898261815,1.6017778713219855
sto6G,HAl,HeMg,2,1.7000000000000002,3.3690351747136087,-199.14913950527549,-199.203789797635,-200.805567668957,1.656428163681511,0.054650292359525565,1.6017778713219855
sto6G,HAl,HeMg,3,1.7000000000000002,3.3690351747136087,-199.29420476045627,-199.203789797635,-200.805567668957,1.511362908500729,-0.0904149628212565,1.6017778713219855
sto6G,HAl,HeMg,4,1.7000000000000002,3.3690351747136087,-199.225221284647,-199.203789797635,-200.805567668957,1.5803463843099905,-0.021431487011994932,1.6017778713219855
sto6G,HAl,HeMg,5,1.7000000000000002,3.3690351747136087,-199.17110852522686,-199.203789797635,-200.805567668957,1.6344591437301403,0.03268127240815488,1.6017778713219855
sto6G,HAl,HeMg,1,1.8,3.3661596995570155,-198.3681001739418,-199.334880206262,-200.938917742466,2.5708175685242054,0.9667800323202016,1.6040375362040038
sto6G,HAl,HeMg,2,1.8,3.3661596995570155,-199.2979326017838,-199.334880206262,-200.938917742466,1.6409851406822042,0.036947604478200446,1.6040375362040038
sto6G,HAl,HeMg,3,1.8,3.3661596995570155,-199.422238262449,-199.334880206262,-200.938917742466,1.5166794800169896,-0.0873580561870142,1.6040375362040038
sto6G,HAl,HeMg,4,1.8,3.3661596995570155,-199.3425999691913,-199.334880206262,-200.938917742466,1.5963177732747056,-0.007719762929298213,1.6040375362040038
sto6G,HAl,HeMg,5,1.8,3.3661596995570155,-199.2950237037533,-199.334880206262,-200.938917742466,1.643894038712716,0.03985650250871231,1.6040375362040038
sto6G,HAl,HeMg,1,1.9000000000000001,3.348510204680206,-198.4733026362577,-199.440213332733,-201.043725225112,2.5704225888543135,0.9669106964753098,1.6035118923790037
sto6G,HAl,HeMg,2,1.9000000000000001,3.348510204680206,-199.41704911424173,-199.440213332733,-201.043725225112,1.626676110870278,0.02316421849127437,1.6035118923790037
