Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
aug-cc-pVQZ,HAl,HeMg,1,1.3,3.7429423219429006,-198.292552165132,-199.987273905114,-200.927016854157,2.6344646890249805,1.6947217399819863,0.9397429490429943
aug-cc-pVQZ,HAl,HeMg,2,1.3,3.7429423219429006,-199.80333443304485,-199.987273905114,-200.927016854157,1.123682421112136,0.18393947206914163,0.9397429490429943
aug-cc-pVQZ,HAl,HeMg,3,1.3,3.7429423219429006,-199.9879128524697,-199.987273905114,-200.927016854157,0.9391040016872978,-0.0006389473556964731,0.9397429490429943
aug-cc-pVQZ,HAl,HeMg,4,1.3,3.7429423219429006,-200.0014257691446,-199.987273905114,-200.927016854157,0.9255910850123996,-0.014151864030594652,0.9397429490429943
aug-cc-pVQZ,HAl,HeMg,5,1.3,3.7429423219429006,-199.99309795555095,-199.987273905114,-200.927016854157,0.9339188986060378,-0.0058240504369564405,0.9397429490429943
aug-cc-pVQZ,HAl,HeMg,1,1.4000000000000001,3.8015703627783566,-198.5938805141589,-200.297206755704,-201.270358672777,2.676478158618096,1.703326241545085,0.973151917073011
aug-cc-pVQZ,HAl,HeMg,2,1.4000000000000001,3.8015703627783566,-200.1107576938757,-200.297206755704,-201.270358672777,1.1596009789012953,0.18644906182828436,0.973151917073011
aug-cc-pVQZ,HAl,HeMg,3,1.4000000000000001,3.8015703627783566,-200.3037605096777,-200.297206755704,-201.270358672777,0.9665981630993201,-0.006553753973690846,0.973151917073011
aug-cc-pVQZ,HAl,HeMg,4,1.4000000000000001,3.8015703627783566,-200.31221036064176,-200.297206755704,-201.270358672777,0.9581483121352505,-0.015003604937760429,0.973151917073011
aug-cc-pVQZ,HAl,HeMg,5,1.4000000000000001,3.8015703627783566,-200.3020041932491,-200.297206755704,-201.270358672777,0.9683544795279033,-0.004797437545107641,0.973151917073011
aug-cc-pVQZ,HAl,HeMg,1,1.5,3.8243263161709793,-198.83254115074885,-200.537163943075,-201.540543351656,2.7080022009071456,1.7046227923261483,1.0033794085809973
aug-cc-pVQZ,HAl,HeMg,2,1.5,3.8243263161709793,-200.34818866496303,-200.537163943075,-201.540543351656,1.1923546866929655,0.18897527811196824,1.0033794085809973
aug-cc-pVQZ,HAl,HeMg,3,1.5,3.8243263161709793,-200.5478807382118,-200.537163943075,-201.540543351656,0.992662613444196,-0.010716795136801238,1.0033794085809973
